Variable,Valor,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
Perdida,1,18,0.025236,0.07004,44.804,0.393281,302,OK
Perdida,1,19,0.019654,0.066331,46.677,0.473353,302,OK
Perdida,1,20,0.020892,0.070015,49.123,0.528677,302,OK
Perdida,1,21,0.014817,0.063362,48.545,0.543268,302,OK
Perdida,1,22,0.015782,0.07519,59.408,0.63289,302,OK
Perdida,1,23,0.016618,0.05987,43.252,0.351104,302,OK
Perdida,1,24,0.017327,0.066652,49.325,0.398513,302,OK
Perdida,1,25,0.024995,0.070962,45.967,0.437098,302,OK
Perdida,1,26,0.015772,0.060497,44.725,0.416824,302,OK
Perdida,1,27,0.015059,0.061669,46.61,0.671671,302,OK
Perdida,1,28,0.015367,0.05718,41.813,0.466875,302,OK
Perdida,1,29,0.039039,0.089473,50.434,0.990175,302,OK
Perdida,1,30,0.02935,0.073844,44.494,0.636003,302,OK
Perdida,1,31,0.044233,0.089659,45.426,0.811037,302,OK
Perdida,1,32,0.029854,0.076744,46.89,0.410577,302,OK
Perdida,1,33,0.03115,0.073277,42.127,0.682519,302,OK
Perdida,1,34,0.01335,0.053635,40.285,0.502712,302,OK
Perdida,1,35,0.014439,0.056236,41.797,0.43271,302,OK
Perdida,1,36,0.02117,0.064656,43.486,0.560321,302,OK
Perdida,1,37,0.014663,0.060105,45.442,0.469356,302,OK
Perdida,1,38,0.028771,0.076923,48.152,0.616377,302,OK
Perdida,1,39,0.014656,0.054748,40.092,0.400714,302,OK
Perdida,1,40,0.017069,0.067811,50.742,0.411515,302,OK
Perdida,1,41,0.02418,0.07122,47.04,0.344591,302,OK
Perdida,1,42,0.019652,0.063381,43.729,0.600853,302,OK
Perdida,1,43,0.02462,0.072442,47.822,0.585996,302,OK
Perdida,1,44,0.013254,0.057301,44.047,0.406552,302,OK
Perdida,1,45,0.022189,0.068891,46.702,0.466375,302,OK
Perdida,1,46,0.025956,0.067562,41.606,0.399644,302,OK
Perdida,1,47,0.015014,0.059441,44.427,0.595328,302,OK
Perdida,1,48,0.013138,0.056794,43.656,0.436012,302,OK
Perdida,1,49,0.013636,0.058379,44.743,0.56612,302,OK
Perdida,1,50,0.014152,0.059067,44.915,0.395266,302,OK
Perdida,3,1,0.014619,0.058615,43.996,0.448095,302,OK
Perdida,3,2,0.015748,0.064326,48.578,0.58644,302,OK
