Variable,Valor,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
Perdida,1,46,0.012631,0.064898,52.267,0.32243,200,OK
Perdida,1,47,0.013448,0.074,60.552,0.202729,200,OK
Perdida,1,48,0.011316,0.062364,51.048,0.283836,200,OK
Perdida,1,49,0.012215,0.064556,52.341,0.295043,200,OK
Perdida,1,50,0.011428,0.063183,51.755,0.287155,200,OK
Perdida,3,1,0.012202,0.065413,53.211,0.190343,200,OK
Perdida,3,2,0.012207,0.064372,52.165,0.224699,200,OK
Perdida,3,3,,,,,000,ERROR
Perdida,3,4,0.013563,0.0644,50.837,0.287673,200,OK
Perdida,3,5,0.011666,0.064138,52.472,0.322144,200,OK
Perdida,3,6,1.031828,1.087883,56.055,1.222754,200,OK
Perdida,3,7,0.013623,0.071037,57.414,0.313893,200,OK
Perdida,3,8,0.023612,0.076436,52.824,0.20338,200,OK
Perdida,3,9,0.0117,0.081195,69.495,0.370029,200,OK
Perdida,3,10,0.011164,0.062134,50.97,0.27194,200,OK
Perdida,3,11,0.016873,0.070334,53.461,0.327319,200,OK
Perdida,3,12,0.01096,0.06254,51.58,0.319748,200,OK
Perdida,3,13,0.013827,0.066927,53.1,0.321152,200,OK
Perdida,3,14,0.012284,0.065468,53.184,0.321517,200,OK
Perdida,3,15,0.011516,0.07924,67.724,0.316625,200,OK
Perdida,3,16,0.012896,0.073665,60.769,0.293184,200,OK
Perdida,3,17,0.013177,0.279144,265.967,0.495651,200,OK
Perdida,3,18,0.011781,0.065259,53.478,0.30935,200,OK
Perdida,3,19,0.013268,0.068762,55.494,0.313034,200,OK
Perdida,3,20,0.01269,0.06954,56.85,0.328469,200,OK
Perdida,3,21,0.016076,0.072758,56.682,0.299264,200,OK
Perdida,3,22,0.012846,0.063232,50.386,0.288869,200,OK
Perdida,3,23,0.014327,0.070381,56.054,0.318578,200,OK
Perdida,3,24,0.012747,0.104067,91.32,0.370331,200,OK
Perdida,3,25,0.012123,0.066705,54.582,0.325848,200,OK
Perdida,3,26,0.012344,0.299862,287.518,0.539658,200,OK
Perdida,3,27,0.013333,0.279418,266.085,0.53811,200,OK
Perdida,3,28,0.011337,0.063803,52.466,0.320485,200,OK
Perdida,3,29,0.011442,0.064006,52.564,0.316634,200,OK
Perdida,3,30,0.011433,0.06425,52.817,0.348418,200,OK
Perdida,3,31,0.012642,0.276533,263.891,0.541533,200,OK
Perdida,3,32,0.01157,0.067751,56.181,0.312295,200,OK
Perdida,3,33,1.022841,1.075086,52.245,1.457567,200,OK
Perdida,3,34,0.011834,0.06401,52.176,0.304274,200,OK
Perdida,3,35,0.020204,0.07752,57.316,0.3543,200,OK
Perdida,3,36,0.011627,0.064937,53.31,0.280348,200,OK
Perdida,3,37,0.011364,0.062244,50.88,0.190369,200,OK
Perdida,3,38,0.011391,0.065288,53.897,0.21338,200,OK
Perdida,3,39,0.013767,0.064764,50.997,0.19512,200,OK
Perdida,3,40,0.013376,0.067454,54.078,0.288215,200,OK
Perdida,3,41,0.011924,0.065095,53.171,0.301921,200,OK
Perdida,3,42,0.012691,0.077231,64.54,0.340912,200,OK
Perdida,3,43,0.011517,0.278658,267.141,0.527448,200,OK
Perdida,3,44,0.013233,0.065551,52.318,0.323594,200,OK
Perdida,3,45,0.011896,0.493388,481.492,0.799507,200,OK
Perdida,3,46,0.019126,0.071361,52.235,0.312811,200,OK
Perdida,3,47,0.023403,0.289076,265.673,0.514323,200,OK
Perdida,3,48,,,,,000,ERROR
Perdida,3,49,0.013104,0.066151,53.047,0.319424,200,OK
Perdida,3,50,0.01262,0.065165,52.545,0.284807,200,OK
Perdida,5,1,0.013256,0.068885,55.629,0.287607,200,OK
Perdida,5,2,,,,,000,ERROR
Perdida,5,3,0.012106,0.064948,52.842,0.33165,200,OK
Perdida,5,4,0.013014,0.286347,273.333,0.521688,200,OK
Perdida,5,5,0.013143,0.065764,52.621,0.352284,200,OK
Perdida,5,6,0.012971,0.066093,53.122,0.28192,200,OK
Perdida,5,7,0.011943,0.066325,54.382,0.320833,200,OK
Perdida,5,8,0.011799,0.064051,52.252,0.300346,200,OK
Perdida,5,9,0.013029,0.065157,52.128,0.289869,200,OK
Perdida,5,10,,,,,000,ERROR
Perdida,5,11,0.013687,0.496385,482.698,0.717471,200,OK
Perdida,5,12,0.017416,0.07526,57.844,0.207727,200,OK
Perdida,5,13,0.011441,0.062529,51.088,0.198896,200,OK
Perdida,5,14,,,,,000,ERROR
Perdida,5,15,0.012705,0.065223,52.518,0.197042,200,OK
Perdida,5,16,0.013137,0.065818,52.681,0.197911,200,OK
Perdida,5,17,1.044645,1.098946,54.301,1.24214,200,OK
Perdida,5,18,0.012738,0.064793,52.055,0.202876,200,OK
Perdida,5,19,0.013469,0.068012,54.543,0.203339,200,OK
Perdida,5,20,,,,,000,ERROR
Perdida,5,21,1.026398,1.077662,51.264,1.415534,200,OK
Perdida,5,22,,,,,000,ERROR
